Instance,Initial,LS_1Flip,LS_Echange,VND,VNS,CPU Time,Valeur Référence,Diff Initial,Diff LS_1Flip,Diff LS_Echange,Diff VND,Diff VNS,Amélioration (%)
100M30_1,19610,19610,19818,20407,21676,5,21946,-2336,-2336,-2128,-1539,-270,10.54
100M30_1,19610,19610,19818,20407,21649,10,21946,-2336,-2336,-2128,-1539,-297,10.4
100M30_1,19610,19610,19818,20407,21250,20,21946,-2336,-2336,-2128,-1539,-696,8.36
100M30_1,19610,19610,19818,20407,21250,40,21946,-2336,-2336,-2128,-1539,-696,8.36
100M5_1,22502,22502,22947,23393,24262,10,24381,-1879,-1879,-1434,-988,-119,7.82
100M5_1,22502,22502,22947,23393,24195,40,24381,-1879,-1879,-1434,-988,-186,7.52
100M5_1,22502,22502,22947,23393,24007,20,24381,-1879,-1879,-1434,-988,-374,6.69
100M5_1,22502,22502,22947,23393,23998,5,24381,-1879,-1879,-1434,-988,-383,6.65
250M5_1,56041,56041,56503,58770,58815,40,59312,-3271,-3271,-2809,-542,-497,4.95
250M5_1,56041,56041,56503,58770,58479,5,59312,-3271,-3271,-2809,-542,-833,4.87
250M5_1,56041,56041,56503,58770,58053,10,59312,-3271,-3271,-2809,-542,-1259,4.87
250M5_1,56041,56041,56503,58770,58638,20,59312,-3271,-3271,-2809,-542,-674,4.87
250M30_1,52748,52748,52984,54537,54957,40,56842,-4094,-4094,-3858,-2305,-1885,4.19
250M30_1,52748,52748,52984,54537,54747,10,56842,-4094,-4094,-3858,-2305,-2095,3.79
250M30_1,52748,52748,52984,54537,54714,5,56842,-4094,-4094,-3858,-2305,-2128,3.73
250M5_11,104842,104842,105463,108720,107563,5,109109,-4267,-4267,-3646,-389,-1546,3.7
250M5_11,104842,104842,105463,108720,107772,10,109109,-4267,-4267,-3646,-389,-1337,3.7
250M5_11,104842,104842,105463,108720,108291,20,109109,-4267,-4267,-3646,-389,-818,3.7
250M5_11,104842,104842,105463,108720,108427,40,109109,-4267,-4267,-3646,-389,-682,3.7
250M30_1,52748,52748,52984,54537,54599,20,56842,-4094,-4094,-3858,-2305,-2243,3.51
500M30_1,109767,109767,110089,113546,111949,5,116056,-6289,-6289,-5967,-2510,-4107,3.44
500M30_1,109767,109767,110089,113546,113133,10,116056,-6289,-6289,-5967,-2510,-2923,3.44
500M30_1,109767,109767,110089,113546,112304,20,116056,-6289,-6289,-5967,-2510,-3752,3.44
500M30_1,109767,109767,110089,113546,113344,40,116056,-6289,-6289,-5967,-2510,-2712,3.44
100M30_11,39245,39245,39272,39990,40332,40,40767,-1522,-1522,-1495,-777,-435,2.77
